"id","sedentary_active_ratio"
"4388161847","100.0000000000000000"
"6391747486","97.2222222222222222"
"4057192912","96.5312500000000000"
"6290855005","95.8000000000000000"
"8253242879","94.9166666666666667"
"1624580081","91.1052631578947368"
"2320127002","90.7500000000000000"
"8583815059","90.0000000000000000"
"1927972279","89.5833333333333333"
"4020332650","87.5625000000000000"
"1844505072","87.5000000000000000"
"8792009665","86.8333333333333333"
"7086361926","85.0833333333333333"
"6775888955","83.8888888888888889"
"8053475328","82.3636363636363636"
"4558609924","81.2500000000000000"
"4445114986","80.4000000000000000"
"2873212765","79.6666666666666667"
"2026352035","79.5000000000000000"
"1644430081","78.9000000000000000"
"3372868164","78.3000000000000000"
"2022484408","77.2500000000000000"
"2891001357","77.2500000000000000"
"8877689391","77.0000000000000000"
"3977333714","75.0833333333333333"
"7007744171","75.0000000000000000"
"8378563200","74.0833333333333333"
"1503960366","73.7368421052631579"
"4319703577","72.2500000000000000"
"4702921684","71.6666666666666667"
"5553957443","71.5000000000000000"
"5577150313","71.0909090909090909"
"2347167796","71.0666666666666667"
"6117666160","71.0000000000000000"
"6962181067","64.9285714285714286"
